NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00360 931101 1078.000  957.000  624.000 13296.000       8889        0
00361 931102  891.000 1134.000  651.000 13547.000      13393        0
00362 931103  570.000 1529.000  579.000 8432.000      23046        0
00363 931104  479.000 1656.000  541.000 6706.000      22114        0
00364 931105  866.000 1265.000  562.000 17629.000      12273        0
00365 931108 1176.000  917.000  605.000 11488.000       8182        0
00366 931109 1195.000  900.000  589.000 13071.000      10999        0
00367 931110 1197.000  864.000  611.000 16573.000       8295        0
00368 931111  934.000 1115.000  612.000 13772.000      11286        0
00369 931112 1200.000  856.000  604.000 21415.000       8194        0
00370 931115  827.000 1256.000  583.000 8470.000      13485        0
00371 931116 1075.000 1003.000  624.000 15604.000      11572        0
00372 931117  780.000 1311.000  603.000 10174.000      17729        0
00373 931118  795.000 1276.000  617.000 11086.000      15940        0
00374 931119  795.000 1333.000  570.000 11078.000      15703        0
00375 931122  484.000 1700.000  511.000 6435.000      18618        0
00376 931123 1162.000  898.000  625.000 14746.000       8146        0
00377 931124 1209.000  793.000  689.000 12218.000       7698        0
00378 931126 1113.000  666.000  701.000 4631.000       3153        0
00379 931129 1053.000 1067.000  581.000 10404.000      13228        0
00380 931130  990.000 1095.000  613.000 10809.000      14125        0
00381 931201 1315.000  804.000  567.000 14341.000      10806        0
00382 931202 1168.000  846.000  672.000 12841.000       8977        0
00383 931203 1208.000  832.000  653.000 13157.000       7816        0
00384 931206 1219.000  866.000  610.000 13871.000      12211        0
00385 931207 1053.000  999.000  654.000 13387.000      10557        0
00386 931208 1065.000 1001.000  641.000 15286.000      12494        0
00387 931209  889.000 1157.000  663.000 10549.000      13187        0
00388 931210  961.000 1092.000  672.000 10536.000       9941        0
00389 931213  991.000 1056.000  662.000 13598.000       8211        0
00390 931214  696.000 1376.000  647.000 7894.000      16099        0
00391 931215  895.000 1172.000  649.000 10697.000      15924        0
00392 931216 1143.000  952.000  632.000 13833.000      10765        0
00393 931217 1453.000  666.000  606.000 22442.000       9157        0
00394 931220  990.000 1125.000  618.000 10749.000      10473        0
00395 931221  876.000 1211.000  643.000 9513.000      13019        0
00396 931222 1151.000  953.000  632.000 14268.000       8946        0
00397 931223 1257.000  835.000  635.000 12020.000       7384        0
00398 931227 1305.000  787.000  621.000 10777.000       4089        0
00399 931228 1217.000  825.000  665.000 10360.000       6302        0
00400 931229 1170.000  859.000  701.000 10673.000      10490        0
00401 931230  991.000 1093.000  638.000 6747.000       9008        0
00402 931231 1191.000  891.000  614.000 6685.000       7732        0
00403 940103  902.000 1318.000  514.000 11482.000      13258        0
00404 940104 1204.000  918.000  615.000 16883.000      11153        0
00405 940105 1196.000  999.000  558.000 20053.000      14346        0
00406 940106 1076.000 1054.000  597.000 15741.000      16702        0
00407 940107 1280.000  855.000  592.000 19120.000       9975        0
00408 940110 1326.000  852.000  564.000 20665.000       8432        0
00409 940111 1004.000 1145.000  604.000 13097.000      13556        0
00410 940112 1146.000  956.000  648.000 13662.000      13186        0
00411 940113  936.000 1142.000  663.000 11092.000      12922        0
00412 940114 1245.000  871.000  640.000 19010.000       8434        0
00413 940117  994.000 1071.000  642.000 10454.000       9467        0
00414 940118 1210.000  892.000  630.000 16166.000      11485        0
00415 940119 1144.000  983.000  608.000 13818.000      13924        0
00416 940120 1110.000  960.000  660.000 14311.000      12798        0
00417 940121  980.000 1086.000  691.000 14105.000      15029        0
00418 940124  934.000 1206.000  619.000 10668.000      15727        0
00419 940125  883.000 1202.000  667.000 10948.000      17336        0
00420 940126 1172.000  888.000  691.000 15441.000      11543        0
00421 940127 1392.000  784.000  639.000 21980.000       9266        0
00422 940128 1324.000  770.000  659.000 18222.000       8875        0
00423 940131 1396.000  733.000  638.000 20970.000       8126        0
